                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5669,                 3.2458,                  1.848,                0.00333,                      1,                0.06133,                 0.0247,                 2.2558,                 4.6471,                 2.9243,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.5461,                 3.0097,                 1.7431,                0.00333,                      1,                0.08627,                0.02919,                  2.266,                  4.398,                 2.7163,             5.8812e-05,             5.8812e-05,             5.8812e-05
                      3,                 1.5205,                 3.0323,                 1.7399,                0.00333,                      1,                0.06589,                 0.0279,                 2.0492,                 5.0842,                 2.3836,              9.604e-05,              9.604e-05,              9.604e-05
                      4,                 1.0107,                 3.1341,                 1.4424,                0.00333,                      1,                 0.2975,                0.09187,                 1.6467,                  4.743,                 2.0841,             0.00013168,             0.00013168,             0.00013168
                      5,                 1.4069,                 2.5269,                 1.5324,                0.00333,                      1,                0.33841,                0.11509,                 1.5305,                 4.2635,                  2.071,             0.00016574,             0.00016574,             0.00016574
                      6,                  1.215,                  2.287,                 1.3227,                0.00333,                      1,                 0.4475,                 0.1362,                 1.5125,                 4.1872,                 2.2184,             0.00019822,             0.00019822,             0.00019822
                      7,                 1.5366,                 2.5205,                 1.5524,                0.00333,                      1,                  0.398,                0.15149,                  1.733,                 4.1263,                 2.5311,             0.00022911,             0.00022911,             0.00022911
                      8,                 1.0163,                 2.1931,                 1.3226,                0.00333,                      1,                  0.398,                 0.1566,                 1.8379,                 3.9865,                 2.8542,             0.00025842,             0.00025842,             0.00025842
                      9,                  0.835,                   1.74,                 1.1908,                0.00333,                      1,                 0.4975,                0.18955,                 1.9196,                 4.1014,                 3.0622,             0.00028614,             0.00028614,             0.00028614
                     10,                 1.1233,                 1.8868,                 1.2764,                0.00333,                      1,                  0.995,                0.38754,                 1.8335,                 3.9027,                 3.1349,             0.00031228,             0.00031228,             0.00031228
                     11,                 0.9635,                 1.7726,                 1.3002,                0.00333,                      1,                0.82833,                0.41926,                 1.6138,                 3.9034,                 2.7812,             0.00033684,             0.00033684,             0.00033684
                     12,                 1.1321,                 1.8538,                 1.2992,                0.00333,                      1,                0.82833,                0.41926,                 1.6138,                 3.9034,                 2.7812,             0.00035981,             0.00035981,             0.00035981
                     13,                0.91285,                 1.8785,                 1.2889,                0.00333,                      1,                0.57833,                0.34325,                 1.2782,                 3.7702,                 2.0982,              0.0003812,              0.0003812,              0.0003812
                     14,                0.80406,                  1.712,                 1.2237,                0.00333,                      1,                  0.695,                0.46654,                 1.0904,                 3.5474,                 1.9858,               0.000401,               0.000401,               0.000401
                     15,                0.78833,                 1.3769,                 1.1496,                0.00333,                      1,                  0.695,                0.46654,                 1.0904,                 3.5474,                 1.9858,             0.00041922,             0.00041922,             0.00041922
                     16,                0.97745,                 1.6307,                 1.1427,                0.00333,                      1,                  0.995,                0.69609,                 1.0345,                 3.4001,                 1.9227,             0.00043586,             0.00043586,             0.00043586
                     17,                0.92866,                 1.9989,                 1.0898,                0.00333,                      1,                  0.995,                0.74609,                0.98182,                 3.5334,                 2.0644,             0.00045091,             0.00045091,             0.00045091
                     18,                0.75119,                 1.5525,                 1.1617,                0.00333,                      1,                  0.995,                0.74609,                0.98182,                 3.5334,                 2.0644,             0.00046438,             0.00046438,             0.00046438
                     19,                0.89242,                 1.6343,                 1.2133,                0.00333,                      1,                  0.995,                0.69617,                  1.119,                 3.7776,                 2.2892,             0.00047626,             0.00047626,             0.00047626
                     20,                0.88113,                 1.7117,                 1.3195,                0.00333,                      1,                  0.995,                0.69617,                  1.119,                 3.7776,                 2.2892,             0.00048656,             0.00048656,             0.00048656
                     21,                0.94108,                 1.7065,                 1.3177,                0.00506,                      1,                  0.995,                0.67138,                  1.178,                 3.6555,                 2.5338,             0.00049528,             0.00049528,             0.00049528
                     22,                 1.1448,                 1.6048,                 1.3105,                0.00506,                      1,                  0.995,                0.67138,                  1.178,                 3.6555,                 2.5338,             0.00050241,             0.00050241,             0.00050241
                     23,                0.94181,                 1.6068,                 1.2345,                0.67643,                      1,                  0.995,                0.52196,                 1.3339,                 3.7959,                 2.7156,             0.00050796,             0.00050796,             0.00050796
                     24,                 1.1512,                 1.8395,                 1.2972,                0.67643,                      1,                  0.995,                0.52196,                 1.3339,                 3.7959,                 2.7156,             0.00051192,             0.00051192,             0.00051192
                     25,                 1.1385,                 1.9529,                 1.4628,                      1,                0.80395,                  0.995,                0.59667,                 1.4505,                  3.545,                  2.821,              0.0005143,              0.0005143,              0.0005143
                     26,                0.96716,                 1.7352,                 1.2934,                      1,                0.80395,                  0.995,                0.59667,                 1.4505,                  3.545,                  2.821,              0.0005151,              0.0005151,              0.0005151
                     27,                 1.1501,                 2.5236,                 1.4088,                      1,                0.80395,                  0.995,                0.59667,                 1.4505,                  3.545,                  2.821,             0.00051431,             0.00051431,             0.00051431
                     28,                0.71635,                 1.3826,                 1.1116,                      1,                0.90188,                  0.995,                0.59667,                 1.5784,                 3.7029,                 3.2932,             0.00051194,             0.00051194,             0.00051194
                     29,                0.56149,                 1.7368,                 1.1315,                      1,                0.90188,                  0.995,                0.59667,                 1.5784,                 3.7029,                 3.2932,             0.00050798,             0.00050798,             0.00050798
                     30,                0.85269,                 1.7473,                 1.2532,                0.91042,                    0.5,                  0.745,                0.42217,                  1.445,                 3.6813,                 3.3148,             0.00050244,             0.00050244,             0.00050244
                     31,                0.83006,                 1.4228,                 1.1927,                0.91042,                    0.5,                  0.745,                0.42217,                  1.445,                 3.6813,                 3.3148,             0.00049532,             0.00049532,             0.00049532
                     32,                0.81262,                 1.3697,                 1.2137,                0.91042,                    0.5,                  0.745,                0.42217,                  1.445,                 3.6813,                 3.3148,             0.00048661,             0.00048661,             0.00048661
                     33,                0.55224,                 1.2052,                 1.0374,                0.90582,                    0.5,                  0.745,                0.48425,                  1.261,                 3.2787,                 3.0898,             0.00047632,             0.00047632,             0.00047632
                     34,                0.99165,                 1.9969,                 1.3154,                0.90582,                    0.5,                  0.745,                0.48425,                  1.261,                 3.2787,                 3.0898,             0.00046444,             0.00046444,             0.00046444
                     35,                0.89688,                 1.5496,                 1.3461,                0.90582,                    0.5,                  0.745,                0.48425,                  1.261,                 3.2787,                 3.0898,             0.00045098,             0.00045098,             0.00045098
                     36,                0.89419,                 1.3356,                 1.1598,                0.89375,                    0.5,                  0.745,                0.47184,                 1.2846,                 3.2421,                 2.9832,             0.00043594,             0.00043594,             0.00043594
                     37,                0.80468,                  1.369,                 1.2572,                0.89375,                    0.5,                  0.745,                0.47184,                 1.2846,                 3.2421,                 2.9832,             0.00041931,             0.00041931,             0.00041931
                     38,                0.56511,                 1.3106,                 1.0815,                0.89375,                    0.5,                  0.745,                0.47184,                 1.2846,                 3.2421,                 2.9832,              0.0004011,              0.0004011,              0.0004011
                     39,                0.76149,                  1.436,                 1.1621,                0.91556,                    0.5,                0.66167,                0.35571,                 1.3789,                 3.0865,                 3.0179,              0.0003813,              0.0003813,              0.0003813
                     40,                 1.2799,                  3.121,                 1.6991,                0.91556,                    0.5,                0.66167,                0.35571,                 1.3789,                 3.0865,                 3.0179,             0.00035992,             0.00035992,             0.00035992
                     41,                 1.0427,                 2.7788,                 1.4305,                0.91556,                    0.5,                0.66167,                0.35571,                 1.3789,                 3.0865,                 3.0179,             0.00033696,             0.00033696,             0.00033696
                     42,                 1.0378,                 2.0597,                 1.5413,                0.62187,                 0.8656,                0.82833,                0.44725,                 1.3404,                 3.0215,                 2.6489,             0.00031241,             0.00031241,             0.00031241
                     43,                0.98371,                 1.9663,                 1.4044,                0.62187,                 0.8656,                0.82833,                0.44725,                 1.3404,                 3.0215,                 2.6489,             0.00028628,             0.00028628,             0.00028628
                     44,                 2.1235,                 4.2766,                 2.3571,                0.62187,                 0.8656,                0.82833,                0.44725,                 1.3404,                 3.0215,                 2.6489,             0.00025856,             0.00025856,             0.00025856
                     45,                 1.0185,                 2.0131,                 1.3467,                0.62187,                 0.8656,                0.82833,                0.44725,                 1.3404,                 3.0215,                 2.6489,             0.00022926,             0.00022926,             0.00022926
                     46,                0.93165,                 2.3066,                 1.3523,                0.75268,                    0.5,                  0.745,                0.39734,                  1.222,                 2.9073,                 2.3856,             0.00019838,             0.00019838,             0.00019838
                     47,                 1.1429,                 2.4777,                  1.668,                0.75268,                    0.5,                  0.745,                0.39734,                  1.222,                 2.9073,                 2.3856,             0.00016591,             0.00016591,             0.00016591
                     48,                 1.0202,                 2.2734,                 1.4964,                0.75268,                    0.5,                  0.745,                0.39734,                  1.222,                 2.9073,                 2.3856,             0.00013186,             0.00013186,             0.00013186
                     49,                   2.45,                 4.3038,                 2.8302,                0.75268,                    0.5,                  0.745,                0.39734,                  1.222,                 2.9073,                 2.3856,             9.6224e-05,             9.6224e-05,             9.6224e-05
                     50,                0.77041,                 2.2706,                 1.3116,                0.76814,                    0.5,                  0.745,                0.38787,                 1.1722,                 3.0044,                 2.2831,             5.9004e-05,             5.9004e-05,             5.9004e-05
